x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
-2.0847 1.2053 0.1496 1.3063 0.8214 2.0116 2.3990 3.0112 3.9445 3.0383 0.3393 0.6749 0.9551 1.2089 2.0968 2.0463 3.4015 2.3100 4.5705 3.0829
-2.1799 0.9754 0.0794 1.1370 0.7620 1.8682 2.3470 2.8857 3.8955 2.9199 0.3078 0.5988 0.9250 1.1362 2.0677 1.9760 3.3734 2.2422 4.5429 3.0163
-2.2547 0.7381 0.0243 0.9623 0.7153 1.7202 2.3061 2.7562 3.8570 2.7977 0.2831 0.5203 0.9013 1.0610 2.0448 1.9035 3.3513 2.1722 4.5212 2.9475
-2.3086 0.4952 -0.0153 0.7834 0.6817 1.5687 2.2767 2.6235 3.8292 2.6726 0.2653 0.4399 0.8842 0.9841 2.0283 1.8293 3.3354 2.1005 4.5056 2.8771
-2.3410 0.2486 -0.0392 0.6017 0.6614 1.4148 2.2590 2.4888 3.8125 2.5455 0.2545 0.3583 0.8740 0.9061 2.0184 1.7539 3.3259 2.0278 4.4962 2.8056
-2.3519 0.0000 -0.0472 0.4186 0.6547 1.2597 2.2531 2.3531 3.8069 2.4175 0.2509 0.2761 0.8705 0.8274 2.0151 1.6779 3.3227 1.9544 4.4930 2.7335
-2.3410 -0.2486 -0.0392 0.2355 0.6614 1.1047 2.2590 2.2174 3.8125 2.2895 0.2545 0.1938 0.8740 0.7487 2.0184 1.6019 3.3259 1.8811 4.4962 2.6615
-2.3086 -0.4952 -0.0153 0.0539 0.6817 0.9508 2.2767 2.0827 3.8292 2.1625 0.2653 0.1122 0.8842 0.6706 2.0283 1.5265 3.3354 1.8083 4.5056 2.5900
-2.2547 -0.7381 0.0243 -0.1250 0.7153 0.7993 2.3061 1.9501 3.8570 2.0374 0.2831 0.0318 0.9013 0.5937 2.0448 1.4523 3.3513 1.7366 4.5212 2.5196
-2.1799 -0.9754 0.0794 -0.2998 0.7620 0.6513 2.3470 1.8205 3.8955 1.9151 0.3078 -0.0467 0.9250 0.5185 2.0677 1.3797 3.3734 1.6666 4.5429 2.4508
-2.0847 -1.2053 0.1496 -0.4691 0.8214 0.5079 2.3990 1.6950 3.9445 1.7968 0.3393 -0.1228 0.9551 0.4458 2.0968 1.3095 3.4015 1.5988 4.5705 2.3842
-1.9698 -1.4259 0.2342 -0.6316 0.8930 0.3702 2.4617 1.5745 4.0037 1.6831 0.3774 -0.1958 0.9915 0.3759 2.1319 1.2420 3.4354 1.5337 4.6038 2.3202
-1.8361 -1.6358 0.3326 -0.7862 0.9764 0.2393 2.5347 1.4600 4.0726 1.5750 0.4216 -0.2652 1.0338 0.3095 2.1728 1.1779 3.4748 1.4718 4.6425 2.2594
-1.6847 -1.8332 0.4442 -0.9316 1.0709 0.1162 2.6174 1.3522 4.1506 1.4734 0.4717 -0.3305 1.0818 0.2470 2.2190 1.1175 3.5195 1.4136 4.6864 2.2022
-1.5166 -2.0166 0.5680 -1.0667 1.1757 0.0018 2.7092 1.2520 4.2371 1.3789 0.5273 -0.3912 1.1350 0.1889 2.2704 1.0615 3.5691 1.3594 4.7352 2.1490
-1.3332 -2.1847 0.7031 -1.1905 1.2902 -0.1031 2.8093 1.1603 4.3316 1.2923 0.5880 -0.4468 1.1931 0.1357 2.3265 1.0101 3.6232 1.3098 4.7883 2.1003
-1.1358 -2.3361 0.8485 -1.3020 1.4133 -0.1975 2.9171 1.0776 4.4333 1.2143 0.6533 -0.4969 1.2555 0.0877 2.3868 0.9638 3.6815 1.2652 4.8455 2.0564
-0.9259 -2.4698 1.0030 -1.4005 1.5442 -0.2809 3.0317 1.0046 4.5414 1.1454 0.7228 -0.5412 1.3220 0.0454 2.4510 0.9229 3.7434 1.2257 4.9064 2.0177
-0.7053 -2.5847 1.1656 -1.4851 1.6818 -0.3526 3.1522 0.9418 4.6550 1.0863 0.7958 -0.5792 1.3918 0.0091 2.5184 0.8878 3.8085 1.1918 4.9703 1.9844
-0.4754 -2.6799 1.3349 -1.5552 1.8252 -0.4120 3.2777 0.8899 4.7734 1.0372 0.8718 -0.6107 1.4646 -0.0211 2.5887 0.8587 3.8763 1.1637 5.0369 1.9568
-0.2381 -2.7547 1.5096 -1.6103 1.9732 -0.4587 3.4072 0.8490 4.8956 0.9987 0.9504 -0.6355 1.5397 -0.0448 2.6612 0.8359 3.9463 1.1417 5.1057 1.9351
0.0048 -2.8086 1.6885 -1.6500 2.1248 -0.4922 3.5399 0.8196 5.0207 0.9710 1.0307 -0.6533 1.6166 -0.0618 2.7354 0.8194 4.0180 1.1258 5.1761 1.9195
0.2514 -2.8410 1.8702 -1.6739 2.2786 -0.5125 3.6746 0.8019 5.1478 0.9542 1.1124 -0.6640 1.6947 -0.0721 2.8108 0.8095 4.0908 1.1162 5.2476 1.9101
0.5000 -2.8519 2.0533 -1.6819 2.4337 -0.5193 3.8103 0.7959 5.2758 0.9487 1.1946 -0.6676 1.7734 -0.0755 2.8868 0.8062 4.1641 1.1130 5.3197 1.9069
0.7486 -2.8410 2.2364 -1.6739 2.5887 -0.5125 3.9460 0.8019 5.4038 0.9542 1.2768 -0.6640 1.8521 -0.0721 2.9628 0.8095 4.2374 1.1162 5.3917 1.9101
0.9952 -2.8086 2.4180 -1.6500 2.7426 -0.4922 4.0807 0.8196 5.5309 0.9710 1.3585 -0.6533 1.9302 -0.0618 3.0382 0.8194 4.3102 1.1258 5.4632 1.9195
1.2381 -2.7547 2.5969 -1.6103 2.8941 -0.4587 4.2133 0.8490 5.6560 0.9987 1.4388 -0.6355 2.0071 -0.0448 3.1124 0.8359 4.3819 1.1417 5.5336 1.9351
1.4754 -2.6799 2.7717 -1.5552 3.0421 -0.4120 4.3429 0.8899 5.7782 1.0372 1.5174 -0.6107 2.0822 -0.0211 3.1850 0.8587 4.4519 1.1637 5.6024 1.9568
1.7053 -2.5847 2.9410 -1.4851 3.1855 -0.3526 4.4684 0.9418 5.8966 1.0863 1.5934 -0.5792 2.1550 0.0091 3.2552 0.8878 4.5197 1.1918 5.6690 1.9844
1.9259 -2.4698 3.1035 -1.4005 3.3232 -0.2809 4.5889 1.0046 6.0102 1.1454 1.6664 -0.5412 2.2249 0.0454 3.3227 0.9229 4.5848 1.2257 5.7330 2.0177
2.1358 -2.3361 3.2581 -1.3020 3.4541 -0.1975 4.7034 1.0776 6.1183 1.2143 1.7359 -0.4969 2.2913 0.0877 3.3868 0.9638 4.6467 1.2652 5.7938 2.0564
2.3332 -2.1847 3.4035 -1.1905 3.5772 -0.1031 4.8112 1.1603 6.2200 1.2923 1.8012 -0.4468 2.3538 0.1357 3.4472 1.0101 4.7050 1.3098 5.8510 2.1003
2.5166 -2.0166 3.5386 -1.0667 3.6916 0.0018 4.9114 1.2520 6.3145 1.3789 1.8619 -0.3912 2.4119 0.1889 3.5032 1.0615 4.7591 1.3594 5.9042 2.1490
2.6847 -1.8332 3.6624 -0.9316 3.7965 0.1162 5.0032 1.3522 6.4010 1.4734 1.9175 -0.3305 2.4651 0.2470 3.5546 1.1175 4.8087 1.4136 5.9529 2.2022
2.8361 -1.6358 3.7739 -0.7862 3.8910 0.2393 5.0858 1.4600 6.4790 1.5750 1.9676 -0.2652 2.5130 0.3095 3.6009 1.1779 4.8534 1.4718 5.9968 2.2594
2.9698 -1.4259 3.8724 -0.6316 3.9743 0.3702 5.1588 1.5745 6.5479 1.6831 2.0118 -0.1958 2.5554 0.3759 3.6418 1.2420 4.8928 1.5337 6.0355 2.3202
3.0847 -1.2053 3.9570 -0.4691 4.0460 0.5079 5.2216 1.6950 6.6071 1.7968 2.0499 -0.1228 2.5917 0.4458 3.6769 1.3095 4.9267 1.5988 6.0688 2.3842
3.1799 -0.9754 4.0271 -0.2998 4.1054 0.6513 5.2736 1.8205 6.6561 1.9151 2.0814 -0.0467 2.6219 0.5185 3.7060 1.3797 4.9548 1.6666 6.0964 2.4508
3.2547 -0.7381 4.0822 -0.1250 4.1521 0.7993 5.3144 1.9501 6.6946 2.0374 2.1061 0.0318 2.6456 0.5937 3.7288 1.4523 4.9769 1.7366 6.1181 2.5196
3.3086 -0.4952 4.1219 0.0539 4.1857 0.9508 5.3438 2.0827 6.7224 2.1625 2.1239 0.1122 2.6626 0.6706 3.7453 1.5265 4.9927 1.8083 6.1337 2.5900
3.3410 -0.2486 4.1458 0.2355 4.2059 1.1047 5.3615 2.2174 6.7391 2.2895 2.1347 0.1938 2.6729 0.7487 3.7552 1.6019 5.0023 1.8811 6.1431 2.6615
3.3519 -0.0000 4.1538 0.4186 4.2127 1.2597 5.3675 2.3531 6.7447 2.4175 2.1383 0.2761 2.6763 0.8274 3.7585 1.6779 5.0055 1.9544 6.1463 2.7335
