x1 y1 x2 y2 x3 y3 x4 y4 x5 y5
6.9435 6.8457 13.6808 18.2580 22.3767 27.2361 32.3640 34.3855 40.2237 38.1091
6.9345 6.8059 13.6719 18.2182 22.3678 27.1963 32.3551 34.3457 40.2147 38.0693
6.9197 6.7667 13.6570 18.1790 22.3529 27.1571 32.3402 34.3065 40.1999 38.0301
6.8990 6.7285 13.6363 18.1407 22.3323 27.1188 32.3196 34.2683 40.1792 37.9918
6.8727 6.6914 13.6101 18.1036 22.3060 27.0817 32.2933 34.2312 40.1530 37.9548
6.8410 6.6558 13.5784 18.0680 22.2743 27.0461 32.2616 34.1956 40.1213 37.9192
6.8041 6.6219 13.5415 18.0342 22.2374 27.0123 32.2247 34.1617 40.0844 37.8853
6.7622 6.5901 13.4997 18.0023 22.1956 26.9804 32.1829 34.1299 40.0426 37.8535
6.7158 6.5605 13.4533 17.9728 22.1493 26.9508 32.1366 34.1003 39.9962 37.8239
6.6652 6.5333 13.4027 17.9456 22.0986 26.9237 32.0860 34.0732 39.9456 37.7968
6.6107 6.5089 13.3483 17.9212 22.0442 26.8993 32.0315 34.0487 39.8911 37.7723
6.5527 6.4873 13.2904 17.8996 21.9863 26.8777 31.9736 34.0272 39.8332 37.7508
6.4918 6.4688 13.2295 17.8811 21.9254 26.8592 31.9127 34.0086 39.7723 37.7322
6.4283 6.4534 13.1660 17.8657 21.8620 26.8438 31.8493 33.9933 39.7089 37.7169
6.3628 6.4414 13.1006 17.8537 21.7965 26.8318 31.7838 33.9812 39.6435 37.7048
6.2957 6.4327 13.0336 17.8450 21.7295 26.8231 31.7168 33.9725 39.5764 37.6961
6.2276 6.4274 12.9655 17.8397 21.6614 26.8178 31.6487 33.9673 39.5084 37.6909
6.1589 6.4257 12.8969 17.8380 21.5928 26.8161 31.5802 33.9655 39.4398 37.6891
6.0903 6.4274 12.8283 17.8397 21.5243 26.8178 31.5116 33.9673 39.3712 37.6909
6.0222 6.4327 12.7603 17.8450 21.4562 26.8231 31.4435 33.9725 39.3032 37.6961
5.9551 6.4414 12.6933 17.8537 21.3892 26.8318 31.3765 33.9812 39.2361 37.7048
5.8896 6.4534 12.6278 17.8657 21.3237 26.8438 31.3110 33.9933 39.1707 37.7169
5.8261 6.4688 12.5644 17.8811 21.2603 26.8592 31.2476 34.0086 39.1072 37.7322
5.7652 6.4873 12.5035 17.8996 21.1994 26.8777 31.1867 34.0272 39.0463 37.7508
5.7072 6.5089 12.4456 17.9212 21.1415 26.8993 31.1288 34.0487 38.9885 37.7723
5.6527 6.5333 12.3911 17.9456 21.0870 26.9237 31.0744 34.0732 38.9340 37.7968
5.6021 6.5605 12.3405 17.9728 21.0364 26.9508 31.0237 34.1003 38.8834 37.8239
5.5556 6.5901 12.2941 18.0023 20.9901 26.9804 30.9774 34.1299 38.8370 37.8535
5.5138 6.6219 12.2523 18.0342 20.9483 27.0123 30.9356 34.1617 38.7952 37.8853
5.4769 6.6558 12.2155 18.0680 20.9114 27.0461 30.8987 34.1956 38.7583 37.9192
5.4452 6.6914 12.1838 18.1036 20.8797 27.0817 30.8670 34.2312 38.7266 37.9548
5.4189 6.7285 12.1575 18.1407 20.8534 27.1188 30.8407 34.2683 38.7004 37.9918
5.3982 6.7667 12.1368 18.1790 20.8328 27.1571 30.8201 34.3065 38.6797 38.0301
5.3833 6.8059 12.1220 18.2182 20.8179 27.1963 30.8052 34.3457 38.6649 38.0693
5.3744 6.8457 12.1130 18.2580 20.8090 27.2361 30.7963 34.3855 38.6559 38.1091
5.3714 6.8859 12.1100 18.2981 20.8060 27.2762 30.7933 34.4256 38.6529 38.1492
5.3744 6.9260 12.1130 18.3382 20.8090 27.3163 30.7963 34.4657 38.6559 38.1893
5.3833 6.9658 12.1220 18.3780 20.8179 27.3561 30.8052 34.5055 38.6649 38.2291
5.3982 7.0050 12.1368 18.4172 20.8328 27.3952 30.8201 34.5447 38.6797 38.2683
5.4189 7.0432 12.1575 18.4554 20.8534 27.4335 30.8407 34.5830 38.7004 38.3065
5.4452 7.0803 12.1838 18.4925 20.8797 27.4706 30.8670 34.6201 38.7266 38.3436
5.4769 7.1159 12.2155 18.5281 20.9114 27.5062 30.8987 34.6557 38.7583 38.3792
5.5138 7.1498 12.2523 18.5620 20.9483 27.5401 30.9356 34.6895 38.7952 38.4131
5.5556 7.1817 12.2941 18.5938 20.9901 27.5719 30.9774 34.7213 38.8370 38.4449
5.6021 7.2112 12.3405 18.6234 21.0364 27.6015 31.0237 34.7509 38.8834 38.4745
5.6527 7.2384 12.3911 18.6505 21.0870 27.6286 31.0744 34.7781 38.9340 38.5016
5.7072 7.2628 12.4456 18.6750 21.1415 27.6530 31.1288 34.8025 38.9885 38.5261
5.7652 7.2844 12.5035 18.6965 21.1994 27.6746 31.1867 34.8241 39.0463 38.5476
5.8261 7.3029 12.5644 18.7150 21.2603 27.6931 31.2476 34.8426 39.1072 38.5662
5.8896 7.3183 12.6278 18.7304 21.3237 27.7085 31.3110 34.8579 39.1707 38.5815
5.9551 7.3304 12.6933 18.7425 21.3892 27.7206 31.3765 34.8700 39.2361 38.5936
6.0222 7.3390 12.7603 18.7512 21.4562 27.7293 31.4435 34.8787 39.3032 38.6023
6.0903 7.3443 12.8283 18.7564 21.5243 27.7345 31.5116 34.8839 39.3712 38.6075
6.1589 7.3460 12.8969 18.7582 21.5928 27.7362 31.5802 34.8857 39.4398 38.6093
